Supplier Name,Product Name,Product Type,Price
Cootes Quarry,7mm Agg,aggregates,$43.00
Cootes Quarry,20mm Agg,aggregates,$38.00
McCahills Landscaping & Supplies,Deco,aggregates,$20.00
McCahills Landscaping & Supplies,Deco,aggregates,$174.00
McCahills Landscaping & Supplies,Road Base,aggregates,$17.00
McCahills Landscaping & Supplies,Road Base,aggregates,$150.00
McCahills Landscaping & Supplies,Crusher Dust,aggregates,$12.00
McCahills Landscaping & Supplies,Crusher Dust,aggregates,$103.00
McCahills Landscaping & Supplies,Crushed Concrete,aggregates,$18.00
McCahills Landscaping & Supplies,Crushes Concrete,aggregates,$162.00
McCahills Landscaping & Supplies,Concrete Mix 10mm,aggregates,$27.00
McCahills Landscaping & Supplies,Concrete Mix 20mm,aggregates,$27.00
JGI,Drainage Aggregates 20mm,aggregates,$18.00
JGI,Drainage Aggregates 40mm,aggregates,$25.00
JGI,Drainage Aggregates 75mm,aggregates,$25.00
JGI,Drainage Aggregates 100mm,aggregates,$25.00
Rural Garden Supplies Humpty Doo,Granite Type 2 Roadbase,aggregates,$38.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 5mm,aggregates,$77.00
Rural Garden Supplies Humpty Doo,Purple Haze 10mm,aggregates,$84.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 10mm,aggregates,$77.00
Rural Garden Supplies Humpty Doo,22mm Katherine Limestone,aggregates,$120.00
Rural Garden Supplies Humpty Doo,Arafura Blue Granite 20mm,aggregates,$100.00
Rural Garden Supplies Humpty Doo,Purple Haze 20mm,aggregates,$84.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 20mm,aggregates,$77.00
Rural Garden Supplies Humpty Doo,Purple Haze 30/50mm,aggregates,$84.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 40mm,aggregates,$77.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 65/75mm,aggregates,$77.00
Rural Garden Supplies Humpty Doo,Granite Boarder Rocks 250/400,aggregates,$90.00
Edwards Landscaping Supplies (Wynyard),Stoodley Pebble 1/2 m3,aggregates,$84.00
Edwards Landscaping Supplies (Wynyard),Borralee Cream Pebble 1/2 m3,aggregates,$80.00
Edwards Landscaping Supplies (Wynyard),Ice Rock Pebble 1/2 m3,aggregates,$80.00
Edwards Landscaping Supplies (Wynyard),Southern Gold Pebble 1/2 m3,aggregates,$90.00
Glebe Gardens Landscape Supplies (Launceston),20mm Blue Metal,aggregates,$54.00
Werribee Sand-Soil & Mini Mix Concrete,Crushed Rock 20mm,aggregates,$47.00
Werribee Sand-Soil & Mini Mix Concrete,7MM Plumbers Scoria,aggregates,$64.00
Werribee Sand-Soil & Mini Mix Concrete,Crusher Dust,aggregates,$39.00
Werribee Sand-Soil & Mini Mix Concrete,Lilycan Toppings,aggregates,$107.00
Werribee Sand-Soil & Mini Mix Concrete,Tuscan Toppings,aggregates,$100.00
McCahills Landscaping & Supplies,River Rock 14mm,aggregates,$22.00
McCahills Landscaping & Supplies,River Rock 20mm,aggregates,$24.00
McCahills Landscaping & Supplies,River Rock 25/40mm,aggregates,$19.00
McCahills Landscaping & Supplies,Blue Crushed 10mm,aggregates,$86.00
McCahills Landscaping & Supplies,Blue Crushed 20mm,aggregates,$86.00
McCahills Landscaping & Supplies,Grey Crushed 10mm,aggregates,$86.00
McCahills Landscaping & Supplies,Grey Crushed 20mm,aggregates,$86.00
HALS Tasmania (Horticultural & Landscape Supplies),Salamanca Stone,aggregates,$80.00
HALS Tasmania (Horticultural & Landscape Supplies),Limestone Gold,aggregates,$80.00
HALS Tasmania (Horticultural & Landscape Supplies),Costal Pathway,aggregates,$87.00
HALS Tasmania (Horticultural & Landscape Supplies),Ice Rock 20mm,aggregates,$107.00
HALS Tasmania (Horticultural & Landscape Supplies),Stoodley Rock 20mm,aggregates,$90.00
HALS Tasmania (Horticultural & Landscape Supplies),River Shingle,aggregates,$207.00
HALS Tasmania (Horticultural & Landscape Supplies),Scoria (Volcanic Rock),aggregates,$214.00
HALS Tasmania (Horticultural & Landscape Supplies),Red Driveway Gravel,aggregates,$44.00
HALS Tasmania (Horticultural & Landscape Supplies),Concrete mix,aggregates,$80.00
HALS Tasmania (Horticultural & Landscape Supplies),Limestone White,aggregates,$110.00
HALS Tasmania (Horticultural & Landscape Supplies),Iron Stone 12mm,aggregates,$107.00
HALS Tasmania (Horticultural & Landscape Supplies),Salt and Pepper Blend,aggregates,$94.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Dust 0-5mm,aggregates,$63.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 5mm,aggregates,$66.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 7mm,aggregates,$63.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 10mm,aggregates,$56.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 14mm,aggregates,$56.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 20mm,aggregates,$56.00
HALS Tasmania (Horticultural & Landscape Supplies),Blue Metal Clean 40mm,aggregates,$66.00
HALS Tasmania (Horticultural & Landscape Supplies),FCR 0-20mm,aggregates,$60.00
HALS Tasmania (Horticultural & Landscape Supplies),Road Base 40mm,aggregates,$52.00
Werribee Sand-Soil & Mini Mix Concrete,7MM River Pebbles,aggregates,$75.00
Werribee Sand-Soil & Mini Mix Concrete,14MM River Pebbles,aggregates,$91.00
Werribee Sand-Soil & Mini Mix Concrete,20MM River Pebbles,aggregates,$91.00
Werribee Sand-Soil & Mini Mix Concrete,Horizen 7MM +,aggregates,$174.00
Werribee Sand-Soil & Mini Mix Concrete,Golden Beach 10mm,aggregates,$200.00
Werribee Sand-Soil & Mini Mix Concrete,50mm White Ice,aggregates,$220.00
Werribee Sand-Soil & Mini Mix Concrete,20mm White Ice,aggregates,$220.00
Werribee Sand-Soil & Mini Mix Concrete,40mm Granite,aggregates,$100.00
Werribee Sand-Soil & Mini Mix Concrete,20MM Sunset Pebbles,aggregates,$134.00
Werribee Sand-Soil & Mini Mix Concrete,40mm Snow Pebbles,aggregates,$100.00
Werribee Sand-Soil & Mini Mix Concrete,Large Sunset,aggregates,$134.00
Werribee Sand-Soil & Mini Mix Concrete,Eden Pebbles Large,aggregates,$127.00
Werribee Sand-Soil & Mini Mix Concrete,40-80 Eden Pebbles,aggregates,$127.00
Werribee Sand-Soil & Mini Mix Concrete,20-40 Eden Pebbles,aggregates,$127.00
Werribee Sand-Soil & Mini Mix Concrete,40mm Tuscan Rock,aggregates,$94.00
Werribee Sand-Soil & Mini Mix Concrete,20mm Tuscan Stone,aggregates,$104.00
Werribee Sand-Soil & Mini Mix Concrete,Ironstone,aggregates,$220.00
Paradise Group – Landscape Supplies & Nursery,Dolomite Limestone 20-40mm 0.5 m3,aggregates,$134.00
Paradise Group – Landscape Supplies & Nursery,Local River Pebbles 150mm 0.5 m3,Gravel,$97.00
Paradise Group – Landscape Supplies & Nursery,Mount Bundy Granite 20-30mm 0.5 m3,Gravel,$74.00
Paradise Group – Landscape Supplies & Nursery,Porcelanite Small Boulders 0.5 m3,Gravel,$84.00
Paradise Group – Landscape Supplies & Nursery,Porcelanite 20-40mm 0.5 m3,Gravel,$84.00
Paradise Group – Landscape Supplies & Nursery,River Pebbles 10mm 0.5 m3,Gravel,$165.00
Edwards Landscaping Supplies (Wynyard),Concrete Gravel 1/2 m3,Gravel,$54.00
Glebe Gardens Landscape Supplies (Launceston),Concrete Gravel,Gravel,$52.00
Stoneman's Garden Centre (Glenorchy),Apricot Rock 20mm 1/4 m3 Per Scoop,Gravel,$80.00
Stoneman's Garden Centre (Glenorchy),Pink Deco 1/4 m3 Per Scoop,Gravel,$113.00
Rural Garden Supplies Humpty Doo,Granite Type 2 Roadbase,granite,$38.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 5mm,granite,$72.00
Rural Garden Supplies Humpty Doo,Purple Haze 10mm,granite,$79.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 10mm,granite,$72.00
Rural Garden Supplies Humpty Doo,22mm Katherine Limestone,granite,$113.00
Rural Garden Supplies Humpty Doo,Arafura Blue Granite 20mm,granite,$94.00
Rural Garden Supplies Humpty Doo,Purple Haze 20mm,granite,$79.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 20mm,granite,$72.00
Rural Garden Supplies Humpty Doo,Purple Haze 30/50mm,granite,$79.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 40mm,granite,$72.00
Rural Garden Supplies Humpty Doo,Mt Bundy Granite 65/75mm,granite,$72.00
Rural Garden Supplies Humpty Doo,Granite Boarder Rocks 250/400,granite,$85.00
Elite Group,Veggie Blend,soil,$72.00
Elite Group,Native Mix,soil,$61.00
Kincumber Sand & Soil,Organic Mix Premium 1 m3,soil,$73.00
Kincumber Sand & Soil,Organic Top Dress Nitro Top 1 tonne,soil,$76.00
Four Seasons Nursery,General Purpose Potting Mix,Soil,$107.00
Four Seasons Nursery,L/S Native Garden Mix,Soil,$83.00
Four Seasons Nursery,L/S Premium Garden Mix,Soil,$75.00
Four Seasons Nursery,L/S Premium Organic Top Dress,Soil,$64.00
Four Seasons Nursery,L/S Turf Underlay,Soil,$64.00
Four Seasons Nursery,L/S Vegie Mix,Soil,$71.00
Four Seasons Nursery,Planter Box Mix,Soil,$71.00
Glebe Gardens Landscape Supplies (Launceston),Plain Soil,soil,$36.00
Glebe Gardens Landscape Supplies (Launceston),Lawn Mix,soil,$43.00
Glebe Gardens Landscape Supplies (Launceston),Garden Mix,soil,$65.00
HALS Tasmania (Horticultural & Landscape Supplies),Screened Loam,soil,$52.00
HALS Tasmania (Horticultural & Landscape Supplies),Garden Soil Mix,soil,$55.00
HALS Tasmania (Horticultural & Landscape Supplies),Lawn & Turf Blend,soil,$61.00
HALS Tasmania (Horticultural & Landscape Supplies),Screened Top Soil,soil,$43.00
TasMulch (Longford),Raised Bed Mix,soil,$50.00
NuGrow,Hydrocell 40 Podium Soil (Bulk),Soil,$114.00
NuGrow,Hydrocell 40 Podium Soil (Bulka Bag),Soil,$181.00
Werribee Sand-Soil & Mini Mix Concrete,Sandy Loam,Soil,$50.00
Werribee Sand-Soil & Mini Mix Concrete,Triple Mix,Soil,$59.00
Werribee Sand-Soil & Mini Mix Concrete,Gypsum,Soil,$86.00
Werribee Sand-Soil & Mini Mix Concrete,Blended Soil,Soil,$61.00
McCahills Landscaping & Supplies,Garden Mix,Soil,$73.00
McCahills Landscaping & Supplies,General Purpose Soil,Soil,$50.00
McCahills Landscaping & Supplies,Lawn Dressing,Soil,$61.00
McCahills Landscaping & Supplies,Potting Mix,Soil,$80.00
McCahills Landscaping & Supplies,Organic fill,Soil,$35.00
TasMulch (Longford),Tasmulch Turf Topdress,soil,$65.00
TasMulch (Longford),Tasmulch Compost,soil,$43.00
Elite Group,Softfall Mulch – Playground Certified Eucalyptus Mulch,mulch,$263.00
Elite Group,White Woodchip,mulch,$188.00
Elite Group,Pine Bark 14mm,mulch,$367.00
Elite Group,Elite Eco Mulch,mulch,$163.00
Kincumber Sand & Soil,Leaf Mulch 1 m3,mulch,$113.00
Kincumber Sand & Soil,Forest Fines 1 m3,mulch,$225.00
Kincumber Sand & Soil,Forest Fines 3/4 m3,mulch,$252.00
Kincumber Sand & Soil,Forest Fines 1/2 m3,mulch,$275.00
Kincumber Sand & Soil,Forest Fines 1/4 m3,mulch,$330.00
Kincumber Sand & Soil,Hardwood Chip 1 m3,mulch,$280.00
Kincumber Sand & Soil,Eucy Mulch 1 m3,mulch,$310.00
Kincumber Sand & Soil,Red Hardwood Chip 1 m3,mulch,$330.00
Kincumber Sand & Soil,Pine Bark 25mm 1 m3,mulch,$550.00
Kincumber Sand & Soil,Pine Bark 10mm 1 m3,mulch,$600.00
Kincumber Sand & Soil,Cypress Chip 1 m3,mulch,$415.00
Kincumber Sand & Soil,Cypress Mulch 1 m3,mulch,$415.00
Four Seasons Nursery,Euchy Mulch,mulch,$248.00
Four Seasons Nursery,Forest Fines,mulch,$198.00
Four Seasons Nursery,Hardwood Woodchip,mulch,$248.00
Four Seasons Nursery,Leaf Mulch,mulch,$98.00
Four Seasons Nursery,Pine Bark Nuggets 25mm (Mini Nuggets),mulch,$330.00
Four Seasons Nursery,Recharge Mulch And Compost,mulch,$149.00
Four Seasons Nursery,Red Woodchip,mulch,$248.00
Four Seasons Nursery,Botany Humus / 20Mm Soil Improver,mulch,$223.00
Paradise Group – Landscape Supplies & Nursery,Mahogany Mulch 0.5 m3,mulch,$200.00
Paradise Group – Landscape Supplies & Nursery,Forest Mulch 0.5 m3,mulch,$100.00
Paradise Group – Landscape Supplies & Nursery,Garden Blend 0.5 m3,mulch,$163.00
Paradise Group – Landscape Supplies & Nursery,Screened Mulch 0.5 m3,mulch,$100.00
Rural Garden Supplies Humpty Doo,Mahogany Mulch,mulch,$163.00
Rural Garden Supplies Humpty Doo,Mulching Hay Bales,mulch,$23.00
Rural Garden Supplies Humpty Doo,Tyoe A Topsoil,mulch,$138.00
Rural Garden Supplies Humpty Doo,Cow Manure,mulch,$113.00
Rural Garden Supplies Humpty Doo,Forest Mulch,mulch,$113.00
Rural Garden Supplies Humpty Doo,Garden Blend,mulch,$200.00
Rural Garden Supplies Humpty Doo,Manure Mulch,mulch,$188.00
Rural Garden Supplies Humpty Doo,Premium Potting Mix,mulch,$413.00
Rural Garden Supplies Humpty Doo,Standard Potting Mix,mulch,$275.00
Glebe Gardens Landscape Supplies (Launceston),Glebe Mulch - Fine,mulch,$125.00
Glebe Gardens Landscape Supplies (Launceston),Pinebark - Hammermill,mulch,$257.00
Glebe Gardens Landscape Supplies (Launceston),Pinebark - Medium,mulch,$257.00
HALS Tasmania (Horticultural & Landscape Supplies),Softfall Pine Bark 0-10mm,mulch,$150.00
HALS Tasmania (Horticultural & Landscape Supplies),Boyer Tan Landscape bark Unscreened,mulch,$100.00
HALS Tasmania (Horticultural & Landscape Supplies),Graded Coarse Landscape Bark,mulch,$317.00
HALS Tasmania (Horticultural & Landscape Supplies),Screened Boyer Tan Pine Bark,mulch,$125.00
HALS Tasmania (Horticultural & Landscape Supplies),Medium Bark 15mm,mulch,$317.00
HALS Tasmania (Horticultural & Landscape Supplies),Clean Eucalyptus Wood Chips,mulch,$94.00
HALS Tasmania (Horticultural & Landscape Supplies),Water Saver & Feeder Mulch,mulch,$150.00
HALS Tasmania (Horticultural & Landscape Supplies),Aged Cut Gum Bark (Triple Cut),mulch,$267.00
HALS Tasmania (Horticultural & Landscape Supplies),Coloured Mulch Red,mulch,$625.00
HALS Tasmania (Horticultural & Landscape Supplies),Coloured Mulch Black,mulch,$625.00
HALS Tasmania (Horticultural & Landscape Supplies),Clean Landscape Bark 25mm,mulch,$217.00
Stoneman's Garden Centre (Glenorchy),Gum Bark 1/4 m3 Per Scoop,mulch,$247.00
Stoneman's Garden Centre (Glenorchy),Pine Bark Composted 1/4 m3 Per Scoop,mulch,$320.00
Stoneman's Garden Centre (Glenorchy),Pine Bark Fine 1/4 m3 Per Scoop,mulch,$114.00
Stoneman's Garden Centre (Glenorchy),Pine Bark Medium Coarse 1/4 Per Scoop,mulch,$50.00
TasMulch (Longford),Tasmulch Euchi,mulch,$225.00
TasMulch (Longford),Soft Impact BArk 15mm,mulch,$200.00
TasMulch (Longford),Boyer Bark,mulch,$167.00
TasMulch (Longford),Medium Bark,mulch,$200.00
TasMulch (Longford),Soft BArk 10mm,mulch,$200.00
TasMulch (Longford),Potting Bark,mulch,$334.00
NuGrow,Recycled Forest Mulch (Single Ground),mulch,$42.00
NuGrow,Recycled Forest Mulch (Double Ground),mulch,$55.00
NuGrow,Recycled Forest Mulch (Single Ground),mulch,$42.00
NuGrow,Recycled Forest Mulch (Double Ground),mulch,$55.00
Werribee Sand-Soil & Mini Mix Concrete,Hammermill Mulch,mulch,$275.00
Werribee Sand-Soil & Mini Mix Concrete,Homestead Bark,mulch,$384.00
Werribee Sand-Soil & Mini Mix Concrete,Cottage Bark,mulch,$384.00
Werribee Sand-Soil & Mini Mix Concrete,Red River Mulch,mulch,$213.00
Werribee Sand-Soil & Mini Mix Concrete,Black Mulch,mulch,$213.00
Werribee Sand-Soil & Mini Mix Concrete,Mushroom Compost,mulch,$134.00
Werribee Sand-Soil & Mini Mix Concrete,Softfall Mulch,mulch,$288.00
McCahills Landscaping & Supplies,Course Mulch,mulch,$30.00
WSC Quarries,N2020,Concrete,$262.00
WSC Quarries,N2520,Concrete,$267.00
WSC Quarries,N3220,Concrete,$274.00
WSC Quarries,N4020,Concrete,$284.00
Rural Garden Supplies Humpty Doo,Concrete premix 10mm,Concrete,$120.00
Rural Garden Supplies Humpty Doo,Concrete premix 20mm,Concrete,$120.00
